vin,back_legroom,body_type,city,city_fuel_economy,daysonmarket,dealer_zip,engine_displacement,engine_type,exterior_color,franchise_dealer,front_legroom,fuel_tank_volume,fuel_type,height,highway_fuel_economy,horsepower,interior_color,is_new,latitude,length,listed_date,listing_color,longitude,make_name,maximum_seating,mileage,model_name,power,savings_amount,seller_rating,torque,transmission,transmission_display,wheel_system,wheelbase,width,year,price
2LMPJ8K92LBL23992,39.6 in,SUV / Crossover,Wayne,20,22,7470,2000,I4,Magnetic Gray,TRUE,42.8 in,18.5 gal,Gasoline,66.2 in,25,250,Black (Ebony),TRUE,40.9086,190 in,18-08-20,GRAY,-74.2609,Lincoln,5 seats,15,Nautilus,"335 hp @ 5,500 RPM",0,4.75,"380 lb-ft @ 3,250 RPM",A,8-Speed Automatic,AWD,112.2 in,86.1 in,2020,50041
3FA6P0CD1LR137849,38.3 in,Sedan,Patchogue,23,47,11772,1500,I4,BLACK,FALSE,44.3 in,16.5 gal,Gasoline,58.1 in,34,181,None,FALSE,40.7827,191.7 in,24-07-20,BLACK,-73.0085,Ford,5 seats,6961,Fusion,"181 hp @ 6,000 RPM",0,4.166666667,"185 lb-ft @ 4,320 RPM",A,Automatic,FWD,112.2 in,83.5 in,2020,17995
JA4AR3AU8KU030897,,SUV / Crossover,Green Brook,,406,8812,,I4,Black,TRUE,,,Gasoline,,,,None,TRUE,40.6044,,31-07-19,BLACK,-74.4741,Mitsubishi,,15,Outlander Sport,,0,3.644444444,,CVT,Continuously Variable Transmission,,,,2019,16295
1C4PJMCB1GW333296,40.3 in,SUV / Crossover,East Hartford,21,38,6108,2400,I4,True Blue Pearlcoat,TRUE,41.1 in,15.9 gal,Gasoline,66.2 in,27,180,Black,FALSE,41.7696,182 in,02-08-20,BLUE,-72.6545,Jeep,5 seats,57814,Cherokee,"271 hp @ 6,500 RPM",557,4.377777778,"239 lb-ft @ 4,400 RPM",A,Automatic,4WD,106.3 in,73.2 in,2016,16633
1FA6P8CF8G5254904,30.6 in,Coupe,Bronx,16,19,10466,5000,V8,Yellow,TRUE,44.5 in,16 gal,Gasoline,54.4 in,25,435,Black,FALSE,40.8847,188.3 in,21-08-20,YELLOW,-73.8317,Ford,4 seats,46955,Mustang,"435 hp @ 6,500 RPM",5746,2.8,"400 lb-ft @ 4,250 RPM",A,6-Speed Automatic,RWD,107.1 in,81.9 in,2016,25000
1GKS2FKC6HR276014,39.7 in,SUV / Crossover,Rockville Centre,,27,11570,5300,V8 Flex Fuel Vehicle,Black,TRUE,45.3 in,31 gal,Flex Fuel Vehicle,74.4 in,,355,Jet Black,FALSE,40.6572,224.4 in,13-08-20,BLACK,-73.6341,GMC,8 seats,39524,Yukon XL,"355 hp @ 5,600 RPM",68,4.733333333,"383 lb-ft @ 4,100 RPM",A,6-Speed Automatic Overdrive,4WD,130 in,80.5 in,2017,38396
JM1DKFB78L1473880,35 in,SUV / Crossover,Lodi,27,38,7644,2000,I4,Snowflake White Pearl Mica,TRUE,41.7 in,11.9 gal,Gasoline,60.7 in,32,148,Black,TRUE,40.8775,168.3 in,02-08-20,WHITE,-74.0758,Mazda,5 seats,0,CX-3,"148 hp @ 6,000 RPM",0,3.8,"146 lb-ft @ 2,800 RPM",A,Automatic,AWD,101.2 in,69.6 in,2020,23340
JN8AZ2NE5H9156606,41 in,SUV / Crossover,Detroit,13,5,48219,5600,V8,Gray,FALSE,39.6 in,26 gal,Gasoline,75.8 in,19,400,Black,FALSE,42.4257,208.9 in,04-09-20,GRAY,-83.2802,INFINITI,7 seats,67579,QX80,"400 hp @ 5,800 RPM",1,4.125,"413 lb-ft @ 4,000 RPM",A,7-Speed Automatic,AWD,121.1 in,79.9 in,2017,36995
2GNALCEKXH1579447,39.9 in,SUV / Crossover,Bay Shore,,76,11706,2400,I4,Summit White,TRUE,41.2 in,18.8 gal,Gasoline,69.3 in,,182,Jet Black,FALSE,40.7333,187.8 in,25-06-20,WHITE,-73.2587,Chevrolet,5 seats,31232,Equinox,"182 hp @ 6,700 RPM",1836,3.447761194,"172 lb-ft @ 4,900 RPM",A,6-Speed Automatic Overdrive,FWD,112.5 in,72.5 in,2017,16224
3VWEB7BU5LM073176,37.4 in,Sedan,Roselle,,4,7203,1400,I4,Pyrite Silver Metallic,TRUE,41.1 in,13.2 gal,Gasoline,57.4 in,,147,Black,TRUE,40.6421,185.1 in,05-09-20,SILVER,-74.2601,Volkswagen,5 seats,0,Jetta,"147 hp @ 5,000 RPM",0,4.75,"184 lb-ft @ 1,400 RPM",A,8-Speed Automatic,FWD,105.7 in,70.8 in,2020,27199
1C4RJFAG0LC240171,38.6 in,SUV / Crossover,East Hartford,18,266,6108,3600,V6,Bright White Clearcoat,TRUE,40.3 in,24.6 gal,Gasoline,69.3 in,25,295,Black,TRUE,41.7696,189.8 in,18-12-19,WHITE,-72.6545,Jeep,5 seats,1,Grand Cherokee,"295 hp @ 6,400 RPM",0,4.377777778,"260 lb-ft @ 4,000 RPM",A,Automatic,4WD,114.7 in,84.8 in,2020,36390
5NPEF4JA4LH059403,34.8 in,Sedan,West Nyack,27,28,10994,2500,I4,Stormy Sea,TRUE,46.1 in,15.9 gal,Gasoline,56.9 in,37,191,Dark Gray,TRUE,41.0912,192.9 in,12-08-20,UNKNOWN,-73.9504,Hyundai,5 seats,10,Sonata,"191 hp @ 6,100 RPM",0,3.631578947,"181 lb-ft @ 4,000 RPM",A,8-Speed Automatic,FWD,111.8 in,73.2 in,2020,26759
5XYZTDLB1HG438695,39.4 in,SUV / Crossover,Stamford,20,77,6902,2400,I4,FROST WHITE PEARL,TRUE,41.3 in,17.4 gal,Gasoline,66.1 in,26,185,Gray,FALSE,41.0473,185 in,24-06-20,WHITE,-73.5286,Hyundai,5 seats,63689,Santa Fe Sport,"185 hp @ 6,000 RPM",535,4.258064516,"178 lb-ft @ 4,000 RPM",A,Automatic,AWD,106.3 in,74 in,2017,14991
KM8J3CA40HU483956,38.2 in,SUV / Crossover,West Nyack,21,15,10994,2000,I4,Black Noir Pearl,TRUE,41.5 in,16.4 gal,Gasoline,64.8 in,26,164,Gray,FALSE,41.0912,176.2 in,25-08-20,BLACK,-73.9504,Hyundai,5 seats,23306,Tucson,"164 hp @ 6,200 RPM",433,3.631578947,"151 lb-ft @ 4,000 RPM",A,Automatic,AWD,105.1 in,72.8 in,2017,17886
2GKFLTE36G6348350,39.9 in,SUV / Crossover,Wayne,16,33,7470,3600,V6,Quicksilver Metallic,TRUE,41.2 in,18.8 gal,Gasoline,66.3 in,23,301,jet black,FALSE,40.9086,185.5 in,07-08-20,SILVER,-74.2609,GMC,5 seats,81224,Terrain,"301 hp @ 6,500 RPM",1776,4.75,"272 lb-ft @ 4,800 RPM",A,6-Speed Automatic,AWD,112.5 in,72.8 in,2016,14933
5FRYD4H38HB024491,36.6 in,SUV / Crossover,Bronx,18,20,10466,3500,V6,Black,TRUE,41.4 in,19.5 gal,Gasoline,67.4 in,26,290,Brown (Beige),FALSE,40.8847,196.2 in,20-08-20,BLACK,-73.8317,Acura,7 seats,39359,MDX,"290 hp @ 6,200 RPM",1121,2.8,"267 lb-ft @ 4,700 RPM",A,9-Speed Automatic,AWD,111 in,77.7 in,2017,27700
JM1GL1V50H1103313,38.7 in,Sedan,Lodi,26,46,7644,2500,I4,Soul Red Metallic,TRUE,42.2 in,16.4 gal,Gasoline,57.1 in,35,184,Sand,FALSE,40.8775,191.5 in,25-07-20,RED,-74.0758,Mazda,5 seats,28350,MAZDA6,"184 hp @ 5,700 RPM",986,3.8,"185 lb-ft @ 5,700 RPM",A,Automatic,FWD,111.4 in,72.4 in,2017,18999
3FA6P0HD9HR153295,38.3 in,Sedan,Patchogue,23,87,11772,2000,I4,BLACK,FALSE,44.3 in,16.5 gal,Gasoline,58.2 in,34,245,None,FALSE,40.7827,191.8 in,14-06-20,BLACK,-73.0085,Ford,5 seats,18777,Fusion,"181 hp @ 6,000 RPM",0,4.166666667,"185 lb-ft @ 4,320 RPM",A,Automatic,FWD,112.2 in,83.5 in,2017,13495
2GNAXKEV0L6263303,39.9 in,SUV / Crossover,Bay Shore,,26,11706,1500,I4,Cajun Red Tintcoat,TRUE,40.9 in,14.9 gal,Gasoline,65.4 in,,170,Jet Black,TRUE,40.7333,183.1 in,14-08-20,RED,-73.2587,Chevrolet,5 seats,,Equinox,"170 hp @ 5,600 RPM",0,3.447761194,"203 lb-ft @ 2,000 RPM",A,6-Speed Automatic Overdrive,FWD,107.3 in,72.6 in,2020,26233
5XYPGDA34KG526008,39.4 in,SUV / Crossover,East Meadow,21,6,11554,2400,I4,Ebony Black,TRUE,44.1 in,18.8 gal,Gasoline,66.5 in,26,185,Black,FALSE,40.7604,189 in,03-09-20,BLACK,-73.5319,Kia,7 seats,36031,Sorento,"185 hp @ 6,000 RPM",1207,3.555555556,"178 lb-ft @ 4,000 RPM",A,6-Speed Automatic,AWD,109.4 in,74.4 in,2019,22911
5NPE24AF7HH572305,35.6 in,Sedan,Springfield,25,12,1119,2400,I4,GRAY,FALSE,45.5 in,18.5 gal,Gasoline,58.1 in,36,185,Gray,FALSE,42.1275,191.1 in,28-08-20,GRAY,-72.5108,Hyundai,5 seats,29996,Sonata,"185 hp @ 6,000 RPM",1275,3.5,"178 lb-ft @ 4,000 RPM",A,Automatic,FWD,110.4 in,73.4 in,2017,15997
1GNSKPKD1MR119129,42 in,SUV / Crossover,Bay Shore,16,18,11706,5300,V8,Black,TRUE,44.5 in,24 gal,Gasoline,75.9 in,20,355,Black,TRUE,40.7333,210.7 in,22-08-20,BLACK,-73.2587,Chevrolet,8 seats,,Tahoe,"355 hp @ 5,600 RPM",0,3.447761194,"383 lb-ft @ 4,100 RPM",,,4WD,120.9 in,81 in,2021,61290
3C4PDCABXDT687419,36.1 in,SUV / Crossover,Patchogue,19,178,11772,2400,I4,ORANGE,FALSE,40.8 in,20.5 gal,Gasoline,66.6 in,26,173,None,FALSE,40.7827,192.4 in,15-03-20,ORANGE,-73.0085,Dodge,7 seats,64674,Journey,"173 hp @ 6,000 RPM",0,4.166666667,"166 lb-ft @ 4,000 RPM",A,Automatic,FWD,113.8 in,83.7 in,2013,7995
KNAFK4A63E5148679,35.9 in,Sedan,Stamford,25,2,6902,1800,I4,Desert Sand,TRUE,42.2 in,13.2 gal,Gasoline,56.5 in,36,148,Gray,FALSE,41.0473,179.5 in,07-09-20,UNKNOWN,-73.5286,Kia,5 seats,81974,Forte,"148 hp @ 6,500 RPM",1501,4.258064516,"131 lb-ft @ 4,700 RPM",A,Automatic,FWD,106.3 in,70.1 in,2014,6791
5NPDH4AE0CH093749,33.1 in,Sedan,Meriden,28,49,6450,1800,I4,Harbor Gray Metallic,FALSE,43.6 in,12.8 gal,Gasoline,56.5 in,38,148,Gray,FALSE,41.5668,178.3 in,22-07-20,GRAY,-72.7734,Hyundai,5 seats,65710,Elantra,,1201,4.25,,A,Automatic,FWD,106.3 in,69.9 in,2012,7495
KNMAT2MV0HP601604,37.9 in,SUV / Crossover,Wallingford,,8,6492,2500,I4,Caspian Blue,FALSE,43 in,14.5 gal,Gasoline,68.4 in,,170,None,FALSE,41.4772,184.5 in,01-09-20,BLUE,-72.8124,Nissan,7 seats,31914,Rogue,"170 hp @ 6,000 RPM",142,4.545454545,"175 lb-ft @ 4,400 RPM",A,Automatic,AWD,106.5 in,72.4 in,2017,18350
3FA6P0T97LR227695,38.3 in,Sedan,Detroit,20,73,48207,2000,I4,Oxford White,TRUE,44.3 in,18 gal,Gasoline,58.1 in,29,245,Black (Ebony),TRUE,42.3361,191.7 in,28-06-20,WHITE,-83.0289,Ford,5 seats,0,Fusion,,0,4.5,,A,Automatic,AWD,112.2 in,83.5 in,2020,27767
1N4AA6AP8HC421142,34.2 in,Sedan,Stamford,21,47,6902,3500,V6,Super Black,TRUE,45 in,18 gal,Gasoline,56.5 in,30,300,Cashmere,FALSE,41.0473,192.8 in,24-07-20,BLACK,-73.5286,Nissan,5 seats,55260,Maxima,"300 hp @ 6,400 RPM",4074,4.258064516,"261 lb-ft @ 4,400 RPM",A,Automatic,FWD,109.3 in,73.2 in,2017,17991
5XXGV4L26GG033520,35.6 in,Sedan,Bohemia,22,193,11716,2000,I4,Ebony Black,TRUE,45.5 in,18.5 gal,Gasoline,57.7 in,32,245,Black,FALSE,40.7589,191.1 in,29-02-20,BLACK,-73.1055,Kia,5 seats,28458,Optima,"245 hp @ 6,000 RPM",1812,3.647058824,"260 lb-ft @ 1,350 RPM",A,6-Speed Automatic,FWD,110.4 in,73.2 in,2016,22236
1C4RJFAG6EC128185,38.6 in,SUV / Crossover,West Hartford,17,38,6110,3600,V6,Bright White Clearcoat,FALSE,40.3 in,24.6 gal,Gasoline,69.4 in,24,290,Black,FALSE,41.7359,189.8 in,02-08-20,WHITE,-72.722,Jeep,5 seats,108259,Grand Cherokee,"290 hp @ 6,400 RPM",1560,4.764705882,"260 lb-ft @ 4,800 RPM",A,Automatic,4WD,114.8 in,84.8 in,2014,13290
JM3KFBDM2L1819985,39.6 in,SUV / Crossover,Lodi,24,46,7644,2500,I4,Deep Crystal Blue Mica,TRUE,41 in,15.3 gal,Gasoline,66.1 in,30,187,Black,TRUE,40.8775,179.1 in,25-07-20,BLUE,-74.0758,Mazda,5 seats,0,CX-5,"187 hp @ 6,000 RPM",0,3.8,"186 lb-ft @ 4,000 RPM",A,Automatic,AWD,106.2 in,83.3 in,2020,35025
1N4AL3AP9GC125666,36.1 in,Sedan,Islip Terrace,,11,11752,2500,I4,Gray,FALSE,45 in,18 gal,Gasoline,57.8 in,,182,None,FALSE,40.7439,191.9 in,29-08-20,GRAY,-73.1892,Nissan,5 seats,91250,Altima,"182 hp @ 6,000 RPM",107,4.75,"180 lb-ft @ 4,000 RPM",CVT,Continuously Variable Transmission,FWD,109.3 in,72 in,2016,10995
1N4AL3AP5JC247027,36.1 in,Sedan,Great Neck,26,50,11021,2500,I4,White,FALSE,45 in,18 gal,Gasoline,57.9 in,37,179,Black,FALSE,40.7774,191.9 in,21-07-20,WHITE,-73.7268,Nissan,5 seats,26657,Altima,"179 hp @ 6,000 RPM",2075,3.346153846,"177 lb-ft @ 4,000 RPM",CVT,Continuously Variable Transmission,FWD,109.3 in,72 in,2018,15495
5NPEF4JA0LH037723,34.8 in,Sedan,Stamford,27,183,6902,2500,I4,STORMY SEA,TRUE,46.1 in,15.9 gal,Gasoline,56.9 in,37,191,Gray,TRUE,41.0473,192.9 in,10-03-20,UNKNOWN,-73.5286,Hyundai,5 seats,18,Sonata,"191 hp @ 6,100 RPM",0,4.258064516,"181 lb-ft @ 4,000 RPM",A,Automatic,FWD,111.8 in,73.2 in,2020,29205
KM8J3CA27HU464755,38.2 in,SUV / Crossover,Springfield,24,95,1119,1600,I4,WHITE,FALSE,41.5 in,16.4 gal,Gasoline,65 in,28,175,Gray,FALSE,42.1275,176.2 in,06-06-20,WHITE,-72.5108,Hyundai,5 seats,31456,Tucson,"175 hp @ 5,500 RPM",1445,3.5,"195 lb-ft @ 1,500 RPM",A,Automatic,AWD,105.1 in,72.8 in,2017,17497
KL7CJKSB7MB310139,35.7 in,SUV / Crossover,Bay Shore,26,6,11706,1400,I4,Black,TRUE,40.8 in,14 gal,Gasoline,64.9 in,31,138,Black (Jet Blk Clth),TRUE,40.7333,167.6 in,03-09-20,BLACK,-73.2587,Chevrolet,5 seats,,Trax,"138 hp @ 4,900 RPM",0,3.447761194,148 lb-ft @ 200 RPM,A,6-Speed Automatic,FWD,100.6 in,69.9 in,2021,22890
3GNAXKEV4KS540065,39.9 in,SUV / Crossover,Bay Shore,,36,11706,1500,I4,Pepperdust Metallic,TRUE,40.9 in,14.9 gal,Gasoline,65.4 in,,170,Jet Black,FALSE,40.7333,183.1 in,04-08-20,UNKNOWN,-73.2587,Chevrolet,5 seats,34586,Equinox,,858,3.447761194,,A,6-Speed Automatic Overdrive,FWD,107.3 in,72.6 in,2019,18949
2T3BFREV5JW857654,37.2 in,SUV / Crossover,Waterford,22,17,48328,2500,I4,Black Currant Metallic,TRUE,42.6 in,15.9 gal,Gasoline,65.9 in,28,176,Black,FALSE,42.6507,183.5 in,23-08-20,BLACK,-83.3682,Toyota,5 seats,14754,RAV4,"176 hp @ 6,000 RPM",1179,4.7,"172 lb-ft @ 4,100 RPM",A,6-Speed Automatic,AWD,104.7 in,72.6 in,2018,21937
5UXWX9C54E0D29892,36.8 in,SUV / Crossover,Patchogue,21,38,11772,2000,I4,GREY,FALSE,39.9 in,17.7 gal,Gasoline,65.4 in,28,240,None,FALSE,40.7827,183 in,02-08-20,GRAY,-73.0085,BMW,5 seats,63816,X3,"240 hp @ 5,000 RPM",646,4.166666667,"260 lb-ft @ 4,800 RPM",A,Automatic,AWD,110.6 in,82.6 in,2014,15495
1C4HJXFG7LW142649,38.3 in,SUV / Crossover,Detroit,18,20,48219,3000,V6,Gray,FALSE,41.2 in,21.5 gal,Gasoline,73.6 in,22,260,Black,FALSE,42.4257,188.4 in,20-08-20,GRAY,-83.2802,Jeep,5 seats,8012,Wrangler Unlimited,"260 hp @ 3,600 RPM",2034,4.125,"442 lb-ft @ 1,400 RPM",A,8-Speed Automatic,4WD,118.4 in,73.8 in,2020,53995
YV4A22PK1L1614942,,SUV / Crossover,Huntington,,99,11743,,I4,BRIGHT_SILVER_M,TRUE,,,Gasoline,,,,CHARCOAL LEATHE,TRUE,40.8286,,02-06-20,UNKNOWN,-73.4281,Volvo,,3,XC90,,0,4.153846154,,A,Automatic,,,,2020,60015
5LMCJ2D97HUL34067,36.8 in,SUV / Crossover,Wayne,19,54,7470,2300,I4,Black Velvet,TRUE,42.8 in,15.5 gal,Gasoline,65.6 in,25,275,Cappuccino,FALSE,40.9086,179.2 in,17-07-20,BLACK,-74.2609,Lincoln,5 seats,37466,MKC,"275 hp @ 5,500 RPM",785,4.75,"300 lb-ft @ 2,000 RPM",A,6-Speed Automatic,AWD,105.9 in,84.1 in,2017,22458
JA4AD3A34KZ016066,,SUV / Crossover,Green Brook,,530,8812,,I4,Black,TRUE,,,Gasoline,,,,Black,TRUE,40.6044,,29-03-19,BLACK,-74.4741,Mitsubishi,,1,Outlander,,0,3.644444444,,CVT,Continuously Variable Transmission,,,,2019,17944
2G61P5S32E9265572,40 in,Sedan,Redford,18,19,48240,3600,V6,RED,FALSE,42.1 in,19 gal,Gasoline,59.4 in,28,304,None,FALSE,42.4277,202 in,21-08-20,RED,-83.3134,Cadillac,5 seats,100920,XTS,"304 hp @ 6,800 RPM",805,4.166666667,"264 lb-ft @ 5,200 RPM",A,Automatic,FWD,111.7 in,72.9 in,2014,13900
2HGES16524H543734,36 in,Sedan,Islip Terrace,25,3,11752,1700,I4,Black,FALSE,42.2 in,13 gal,Gasoline,56.7 in,34,115,None,FALSE,40.7439,175.4 in,06-09-20,BLACK,-73.1892,Honda,5 seats,116645,Civic,"115 hp @ 6,100 RPM",0,4.75,"110 lb-ft @ 4,500 RPM",A,4-Speed Automatic,FWD,103.1 in,67.5 in,2004,5495
JM1GL1X52H1144071,38.7 in,Sedan,Lodi,,29,7644,2500,I4,Machine Gray Metallic,TRUE,42.2 in,16.4 gal,Gasoline,57.1 in,,184,Parchment,FALSE,40.8775,191.5 in,11-08-20,GRAY,-74.0758,Mazda,5 seats,27624,MAZDA6,"184 hp @ 5,700 RPM",1596,3.8,"185 lb-ft @ 5,700 RPM",A,Automatic,FWD,111.4 in,72.4 in,2017,22095
ML32A3HJ1JH014063,34 in,Hatchback,Little Ferry,37,54,7643,1200,I3,Charcoal,FALSE,41.7 in,9.2 gal,Gasoline,59.4 in,43,78,Black,FALSE,40.8558,149.4 in,17-07-20,BLACK,-74.0493,Mitsubishi,5 seats,17485,Mirage,"78 hp @ 6,000 RPM",2714,3.577777778,"74 lb-ft @ 4,000 RPM",CVT,Continuously Variable Transmission,FWD,96.5 in,65.6 in,2018,7499
WAUFFAFL5EA073055,35.2 in,Sedan,North Plainfield,20,76,7060,2000,I4,Gray,FALSE,41.3 in,16.1 gal,Gasoline,56.2 in,29,220,Brown,FALSE,40.6229,185.2 in,25-06-20,GRAY,-74.4454,Audi,5 seats,67266,A4,"220 hp @ 4,450 RPM",441,4.418604651,"258 lb-ft @ 1,500 RPM",A,8-Speed Automatic,AWD,110.6 in,80.3 in,2014,16900
KM8J3CAL3LU224264,38.2 in,SUV / Crossover,Stamford,21,105,6902,2400,I4,BLACK NOIR PEARL,TRUE,41.5 in,16.4 gal,Gasoline,65 in,26,181,Brown (BEIGE),TRUE,41.0473,176.4 in,27-05-20,BLACK,-73.5286,Hyundai,5 seats,0,Tucson,"181 hp @ 6,000 RPM",0,4.258064516,"175 lb-ft @ 4,000 RPM",A,Automatic,AWD,105.1 in,72.8 in,2020,34845
1FA6P8CF2H5230521,29 in,Coupe,Bohemia,15,25,11716,5000,V8,White,TRUE,44.5 in,16 gal,Gasoline,54.3 in,25,435,Black (Ebony),FALSE,40.7589,188.3 in,15-08-20,WHITE,-73.1055,Ford,4 seats,2969,Mustang,"435 hp @ 6,500 RPM",209,3.647058824,"400 lb-ft @ 4,250 RPM",M,6-Speed Manual,RWD,107.1 in,81.9 in,2017,36751
